"id","name","slug","country_id","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"1","Florida (USA)","florida ","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"2","California (USA)","california","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"3","New York (USA)","new-york","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"4","New Jersey (USA)","new-jersey","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"5","Pennsylvania (USA)","pennsylvania","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"6","Texas (USA)","texas","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"7","Alabama (USA)","alabama","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"8","Alaska (USA)","alaska","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"9","Arizona (USA)","arizona","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"10","Arkansas (USA)","arkansas","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"11","Colorado (USA)","colorado","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"12","Connecticut (USA)","connecticut","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"13","Delaware (USA)","delaware","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"14","Georgia (USA)","georgia","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"15","Hawaii (USA)","hawaii","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"16","Idaho (USA)","idaho","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"17","Illinois (USA)","illinois","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"18","Indiana (USA)","indiana","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
"19","Iowa (USA)","iowa","1","2020-01-27 12:11:30","2020-01-27 12:11:38","","1","",""
