id,navigation_id,role_id,created_at,updated_at
1,1,2,2017-07-18 08:08:13,2017-07-18 08:08:13
2,2,2,2017-07-18 08:08:13,2017-07-18 08:08:13
3,3,2,2017-07-18 08:08:13,2017-07-18 08:08:13
4,4,2,2017-07-18 08:08:13,2017-07-18 08:08:13
6,6,2,2017-07-18 08:08:13,2017-07-18 08:08:13
7,7,4,2017-07-18 08:08:13,2017-07-18 08:08:13
8,8,2,2017-07-18 08:08:13,2017-07-18 08:08:13
9,9,2,2017-07-18 08:08:13,2017-07-18 08:08:13
10,10,2,2017-07-18 08:08:13,2017-07-18 08:08:13
11,11,2,2017-07-18 08:08:13,2017-07-18 08:08:13
12,12,4,2017-07-18 08:08:13,2017-07-18 08:08:13
13,13,4,2020-01-27 07:58:56,2020-01-27 07:58:56
14,14,4,2020-01-29 00:25:55,2020-01-29 00:25:55
15,15,4,2020-01-29 00:30:23,2020-01-29 00:30:23
22,22,2,2020-04-16 05:28:00,2020-04-16 05:28:00
30,30,2,2020-04-16 05:28:00,2020-05-01 05:28:00
45,45,2,2023-03-14 12:45:39,2023-03-14 12:45:39
41,41,2,2023-03-14 12:45:39,2023-03-14 12:45:39
46,46,2,2023-03-14 12:46:59,2023-03-14 12:46:59
47,47,2,2023-03-14 12:47:58,2023-03-14 12:47:58
48,48,2,2023-03-14 12:50:05,2023-03-14 12:50:05
49,49,2,2023-03-14 12:52:47,2023-03-14 12:52:47
50,50,2,2023-03-14 12:54:38,2023-03-14 12:54:38
51,51,2,2023-03-14 12:55:18,2023-03-14 12:55:18
52,52,2,2023-03-14 13:03:02,2023-03-14 13:03:02
53,53,2,2023-03-14 13:04:17,2023-03-14 13:04:17
54,54,2,2023-03-14 13:05:44,2023-03-14 13:05:44
55,55,2,2023-03-14 13:06:42,2023-03-14 13:06:42
56,56,2,2023-03-14 13:07:55,2023-03-14 13:07:55
57,57,2,2023-03-14 13:09:29,2023-03-14 13:09:29
58,58,2,2023-03-14 13:10:34,2023-03-14 13:10:34
59,59,2,2023-03-14 13:11:40,2023-03-14 13:11:40
60,60,2,2023-03-14 13:12:38,2023-03-14 13:12:38
61,61,2,2023-03-14 13:26:18,2023-03-14 13:26:18
62,62,2,2023-03-14 13:27:22,2023-03-14 13:27:22
63,63,2,2023-03-14 13:28:31,2023-03-14 13:28:31
64,64,2,2023-03-14 13:29:23,2023-03-14 13:29:23
66,66,2,2023-03-14 13:32:35,2023-03-14 13:32:35
67,67,2,2023-03-14 13:32:35,2023-03-14 13:32:35
68,68,2,2023-03-14 13:32:35,2023-03-14 13:32:35
69,69,2,2023-03-14 13:32:35,2023-03-14 13:32:35
70,70,2,2023-03-14 13:32:35,2023-03-14 13:32:35
71,71,2,2023-03-14 13:32:35,2023-03-14 13:32:35
