id,name,description,slug,url,icon,help_index_title,help_index_content,help_create_title,help_create_content,help_edit_title,help_edit_content,list_order,is_hidden,parent_id,url_parent_id,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
1,Dashboard,Dashboard,/,/admin,tachometer-alt,"","","","","","",1,0,0,0,2020-01-27 06:11:41,2023-03-14 12:40:44,"",0,1,""
2,Latest Activity,Latest Activity,activities,/admin/activities,history,,,,,,,3,1,0,0,2020-01-27 06:11:41,2023-03-14 08:41:41,"",0,1,""
3,Website,,website,/admin/activities/website,home,,,,,,,1,1,2,2,2020-01-27 06:11:41,2023-03-14 08:41:41,"",0,1,""
4,Admin,Admin,admin,/admin/activities/admin,lock,,,,,,,2,1,2,2,2020-01-27 06:11:41,2023-03-14 08:41:41,"",0,1,""
7,Administrators,,administrators,/admin/accounts/administrators,universal-access,,,,,,,2,1,5,5,2020-01-27 06:11:41,2020-01-27 06:11:41,"",0,0,""
8,Profile,,profile,/admin/profile,user,,,,,,,2,1,0,0,2020-01-27 06:11:41,2020-01-27 06:11:43,"",0,0,""
9,Settings,,settings,/admin/settings,cogs,,,,,,,1400,0,0,0,2020-01-27 06:11:41,2023-03-14 08:41:42,"",0,1,""
10,Navigation,,navigations,/admin/settings/navigations,align-center,Help,Helpful text here - explaining what u can do here...,Information,Please complete the form to create the navigation,,,3,0,9,9,2020-01-27 06:11:41,2020-01-27 07:59:10,"",0,0,""
11,Navigation Order,Navigation Order,order,/admin/settings/navigations/order,list-ol,,,,,,,1,1,10,10,2020-01-27 06:11:41,2020-01-27 06:11:43,"",0,0,""
12,Roles,Roles,roles,/admin/settings/roles,universal-access,,,,,,,1,0,9,9,2020-01-27 06:11:41,2020-01-27 06:11:41,"",0,0,""
13,Settings,Settings,settings,/admin/settings/settings,cog,,,,,,,2,0,9,9,2020-01-27 07:58:56,2020-01-27 07:59:10,"",0,0,""
22,Interests,Interests,interests,/admin/analytics/interests,heart,,,,,,,4,1,18,18,2020-03-20 05:27:00,2020-03-20 05:27:00,"",0,0,""
30,Contact Us,Contact Us,contact-us,/admin/reports/contact-us,comments,,,,,,,1,1,29,29,2020-05-01 05:28:00,2020-05-01 05:28:00,"",0,0,""
48,Grants,grants menu,grants,/admin/grants,grants,"","","","","","",1388,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
49,Price Plan,price-plan menu,price-plan,/admin/price-plan,price-plan,"","","","","","",1395,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
41,Users,user menu,user_list,/admin/users,user_list,"","","","","","",1391,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
50,Subscribers,subscriber menu,subscriber,/admin/subscriber,subscriber,"","","","","","",1390,0,0,0,2023-03-14 12:54:38,2023-03-14 12:54:38,"",1,1,""
51,Subscription,subscription menu,subscription,/admin/subscriptions,subscription,"","","","","","",1389,0,0,0,2023-03-14 12:55:18,2023-03-14 12:55:18,"",1,1,""
54,Grant server side filtering,menu of public sites,grant-server-side-filtering,/admin/public-sites/grant-server-side-filtering,bar,"","","","","","",999,1,52,52,2023-03-14 13:05:44,2023-03-14 13:05:44,"",1,1,""
55,Search grants,menu of public website,search-grants,/admin/public-sites/search-grants,search,"","","","","","",999,1,52,52,2023-03-14 13:06:42,2023-03-14 13:06:42,"",1,1,""
56,Grant archive,sub menu of Search grant page,grant-archive,/admin/public-sites/search-grants/grant-archive,archive,"","","","","","",999,0,55,55,2023-03-14 13:07:55,2023-03-14 13:07:55,"",1,1,""
57,Grant details,sub menu of search grant,grant-details,/admin/public-sites/search-grants/grant-details,bar,"","","","","","",999,0,55,55,2023-03-14 13:09:29,2023-03-14 13:09:29,"",1,1,""
58,Add grants,add grants,add-grants,/admin/public-sites/add-grants,add,"","","","","","",999,1,52,52,2023-03-14 13:10:34,2023-03-14 13:10:34,"",1,1,""
59,Pricing & Plans,pricing & plans,pricing-and-plans,/admin/public-sites/pricing-and-plans,price,"","","","","","",1395,1,52,52,2023-03-14 13:11:40,2023-03-14 13:11:40,"",1,1,""
60,Contact us,contact us,contact-us,/admin/public-sites/contact-us,contact us,"","","","","","",999,1,52,52,2023-03-14 13:12:38,2023-03-14 13:12:38,"",1,1,""
61,Login,login,login,/admin/public-sites/login,login,"","","","","","",999,1,52,52,2023-03-14 13:26:18,2023-03-14 13:26:18,"",1,1,""
62,Logout,logout,logout,/admin/public-sites/logout,logout,"","","","","","",999,1,52,52,2023-03-14 13:27:21,2023-03-14 13:27:21,"",1,1,""
63,Singup,logout,singup,/admin/public-sites/singup,logout,"","","","","","",999,1,52,52,2023-03-14 13:28:31,2023-03-14 13:28:31,"",1,1,""
64,Profile,profile,profile,/admin/public-sites/profile,profile,"","","","","","",999,1,52,52,2023-03-14 13:29:23,2023-03-14 13:29:23,"",1,1,""
66,Grans subscription required,grans-subscription-required,grans-subscription-required,/admin/public-sites/grans-subscription-required,bar,"","","","","","",999,1,52,52,2023-03-14 13:32:35,2023-03-14 13:32:35,"",1,1,""
52,Pricing Properties,pricing menu,pricing_Properties,/admin/pricing-property,pricing_properties,"","","","","","",1395,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
53,Store Settings,store menu,store_setting,/admin/store-setting,pricing_properties,"","","","","","",1398,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
67,Work Flow,work flow menu,work_flow,/admin/workflow,work_flow,"","","","","","",1397,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
68,Snippets,snippets menu,snippets,/admin/snippets,snippets,"","","","","","",1396,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
69,Clear Cache,clear-cache menu,clear_cache,/admin/clear-cache,clear_cache,"","","","","","",1394,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
70,Recycle Bin,recycle-bin menu,recycle-bin,/admin/recycle-bin,recycle-bin,"","","","","","",1399,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
71,Grants Log,grants-log menu,grants-log,/admin/grants-log,grants-log,"","","","","","",1393,0,0,0,2023-03-14 12:50:05,2023-03-14 12:50:05,"",1,1,""
