id,icon,name,slug,keyword,summary,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
"1","user","User","/","user",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"2","user-secret","Admin","/admin","admin",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"3","comments","Admin Notifications","/admin","admin_notify",,"2020-01-23 17:32:00","2020-01-23 09:55:26",,"1","1",
"4","universal-access","Developer","/admin","developer",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"5","user-secret","UserAdmins","/userAdmins","useradmins",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"6","user-secret","CMSAdmins","/cmsadmins","cmsadmins",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"7","user-secret","SmartSearchAdmins","/smartsearchadmins","smartsearchadmins",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"8","user-secret","ContentAdmins","/contentadmins","contentadmins",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"9","user-secret","Grant Portal Subscribers","/grant-portal-subscribers","grant-portal-subscribers",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"10","user-secret","Grant Portal Paid Subscribers","/grant-portal-paid-subscribers","grant-portal-paid-subscribers",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
"11","user-secret","Grantors","/grantors","grantors",,"2020-01-23 14:23:30","2020-01-23 14:23:30",,"0","0",
